workpoint,pose,direction,kind,parameter,force_N,status,grip_only_force_N
low90,roll-8,opening_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,roll-8,opening_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,roll-8,opening_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,roll-8,closing_normal_tangent,ground_mu,0.3,102.296228819722,OPTIMAL,
low90,roll-8,closing_normal_tangent,ground_mu,1.0,119.53349205975921,OPTIMAL,
low90,roll-8,closing_normal_tangent,arm_sim_cap_scale,0.1,48.93486407996177,OPTIMAL,
low90,roll-8,closing_normal_tangent,arm_sim_cap_scale,0.2,119.53349205975921,OPTIMAL,
low90,roll-8,closing_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,roll-8,closing_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,roll-8,closing_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,roll-8,closing_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,roll-8,closing_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,roll-8,closing_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,roll-8,handle_axis,ground_mu,0.3,63.630801508021364,OPTIMAL,
low90,roll-8,handle_axis,ground_mu,1.0,105.1025855546839,OPTIMAL,
low90,roll-8,handle_axis,arm_sim_cap_scale,0.1,29.94946328254323,OPTIMAL,
low90,roll-8,handle_axis,arm_sim_cap_scale,0.2,58.395310395743735,OPTIMAL,
low90,roll-8,handle_axis,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,roll-8,handle_axis,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,roll-8,handle_axis,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,roll-8,handle_axis,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,roll-8,handle_axis,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,roll-8,handle_axis,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,pitch+8,press_down,ground_mu,0.3,166.60459973257818,OPTIMAL,
low90,pitch+8,press_down,ground_mu,1.0,166.60459973257818,OPTIMAL,
low90,pitch+8,press_down,arm_sim_cap_scale,0.1,42.75901052223179,OPTIMAL,
low90,pitch+8,press_down,arm_sim_cap_scale,0.2,73.0848319475761,OPTIMAL,
low90,pitch+8,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
low90,pitch+8,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
low90,pitch+8,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
low90,pitch+8,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
low90,pitch+8,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
low90,pitch+8,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
low90,pitch+8,opening_normal_tangent,ground_mu,0.3,107.3904807648247,OPTIMAL,
low90,pitch+8,opening_normal_tangent,ground_mu,1.0,140.58466357879095,OPTIMAL,
low90,pitch+8,opening_normal_tangent,arm_sim_cap_scale,0.1,49.72632231833802,OPTIMAL,
low90,pitch+8,opening_normal_tangent,arm_sim_cap_scale,0.2,134.00635127565846,OPTIMAL,
low90,pitch+8,opening_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,pitch+8,opening_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,pitch+8,opening_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,pitch+8,opening_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
