workpoint,pose,acceleration_m_s2,qddot_peak_rad_s2,acceleration_residual,delta_arm_tau_peak_Nm,arm_force_N,whole_force_N,status
far90,pitch-8,-0.5,3.1448331916632966,1.4144204255313378e-15,0.3094098633590665,839.5312901995322,144.60013908824726,OPTIMAL
far90,pitch-8,0.5,3.1448331916632966,1.4144204255313378e-15,0.3094098633590665,837.4078305717719,141.48138479271245,OPTIMAL
high120,neutral,-0.5,2.867138472703088,1.2554721254529926e-15,0.6454600336880221,257.4484575291101,107.4753021852402,OPTIMAL
high120,neutral,0.5,2.867138472703088,1.2554721254529926e-15,0.6454600336880221,254.33704230232388,104.38106410629835,OPTIMAL
high120,roll+8,-0.5,2.992294287512969,1.5401082263035696e-15,0.6191140371451578,276.0893011835079,107.55126615362404,OPTIMAL
high120,roll+8,0.5,2.992294287512969,1.5401082263035696e-15,0.6191140371451578,272.88362634558354,104.51221810523074,OPTIMAL
high120,roll-8,-0.5,2.992296898702332,1.990729918376218e-15,0.6177185765607485,276.1076880258152,107.55583432434766,OPTIMAL
high120,roll-8,0.5,2.992296898702332,1.990729918376218e-15,0.6177185765607485,272.9092198878622,104.52359540172824,OPTIMAL
high120,pitch+8,-0.5,2.510387533184985,6.754707880616256e-16,0.6498115822983674,242.11716454779778,108.58646270981336,OPTIMAL
high120,pitch+8,0.5,2.510387533184985,6.754707880616256e-16,0.6498115822983674,239.14802221170734,105.60974003620738,OPTIMAL
high120,pitch-8,-0.5,3.678152159452967,2.885388256065293e-15,0.6701105783696084,271.42592277836917,106.72758642320929,OPTIMAL
high120,pitch-8,0.5,3.678152159452967,2.885388256065293e-15,0.6701105783696084,268.0530223795999,103.39975615813071,OPTIMAL
left105,neutral,-0.5,1.5983229854366312,1.104104973885531e-15,0.3967518855427068,449.5932950361656,121.01764779215078,OPTIMAL
left105,neutral,0.5,1.5983229854366312,1.104104973885531e-15,0.3967518855427068,446.2119201406579,118.39648006927276,OPTIMAL
left105,roll+8,-0.5,1.7294967040114597,1.0235416010997521e-15,0.4520468908450139,387.3918495913036,120.87343422451039,OPTIMAL
left105,roll+8,0.5,1.7294967040114597,1.0235416010997521e-15,0.4520468908450139,384.06023278789337,118.05803135201792,OPTIMAL
left105,roll-8,-0.5,1.5966299792332592,1.0118665167899083e-15,0.3249582838545493,521.7962845190822,121.28871587092708,OPTIMAL
left105,roll-8,0.5,1.5966299792332592,1.0118665167899083e-15,0.3249582838545493,520.0190741843574,118.83567427612122,OPTIMAL
left105,pitch+8,-0.5,1.5987477217764747,1.250660919147669e-15,0.3591835092355735,486.23117026111146,122.27086348155645,OPTIMAL
left105,pitch+8,0.5,1.5987477217764747,1.250660919147669e-15,0.35918350923557396,482.88730438129005,120.07291250776183,OPTIMAL
left105,pitch-8,-0.5,1.8684309920064701,7.779222152701531e-16,0.4051529098015427,451.55280295181285,120.0508561792435,OPTIMAL
left105,pitch-8,0.5,1.8684309920064701,7.779222152701531e-16,0.4051529098015427,448.11734339844946,117.2460321263855,OPTIMAL
open30,pitch+8,-0.5,1.6586645255412942,5.23901074271329e-16,0.46416782176672733,383.26649329798767,134.2928554628201,OPTIMAL
open30,pitch+8,0.5,1.6586645255412942,5.23901074271329e-16,0.46416782176672733,379.8631810260496,132.07147008449516,OPTIMAL
