workpoint,pose,direction,arm_PD_status,arm_PD_force_N,arm_PD_limiter,whole_PD_status,whole_PD_force_N,whole_PD_limiter,target_at20N_within_limits,target_limit_excess_at20N_rad
high120,roll+8,press_down,OPTIMAL,241.7834466349509,arm_j2,OPTIMAL,148.04767122232235,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,roll+8,opening_normal_tangent,OPTIMAL,274.48646376454576,arm_j2,OPTIMAL,106.0317421294274,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,roll+8,closing_normal_tangent,OPTIMAL,243.29776427626945,arm_j2,OPTIMAL,87.58641393982333,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
high120,roll+8,handle_axis,OPTIMAL,220.00205077704564,arm_j1,OPTIMAL,74.19052035582138,FL_foot:normal_lower;RL_foot:normal_lower,True,0.0
high120,roll-8,press_down,OPTIMAL,241.8023752425301,arm_j2,OPTIMAL,148.05880321563507,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,roll-8,opening_normal_tangent,OPTIMAL,274.5084539568387,arm_j2,OPTIMAL,106.03971486303794,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,roll-8,closing_normal_tangent,OPTIMAL,243.2788134685685,arm_j2,OPTIMAL,87.57844120618482,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
high120,roll-8,handle_axis,OPTIMAL,223.88115910151615,arm_j1,OPTIMAL,77.02355367708422,FL_foot:normal_lower;RL_foot:normal_lower,True,0.0
high120,pitch+8,press_down,OPTIMAL,237.26678359693162,arm_j5,OPTIMAL,149.53658387742058,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,pitch+8,opening_normal_tangent,OPTIMAL,240.63259337975256,arm_j2,OPTIMAL,107.09810137301037,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
high120,pitch+8,closing_normal_tangent,OPTIMAL,216.29098523493695,arm_j2,OPTIMAL,86.5200546961994,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
