workpoint,pose,roll_deg,pitch_deg,direction,dx,dy,dz,arm_status,arm_force_N,arm_no_gravity_force_N,arm_limiter,whole_status,whole_force_N,whole_limiter,unloaded_feet,arm_peak_abs_tau_at20N_Nm,arm_peak_PD_error_at20N_rad,arm_min_cap_margin_at20N_Nm,arm_analytic_vs_LP_abs_N
mid105,roll-8,-8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,250.15826074468833,238.06189403410488,arm_j3,OPTIMAL,154.9631737862206,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.516993698092919,0.05187485827926819,96.48300630190708,0.0
mid105,roll-8,-8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,385.7150923734297,368.5022941717438,arm_j2,OPTIMAL,119.46037275191823,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,5.239254366646967,0.08186334947885886,94.76074563335304,0.0
mid105,roll-8,-8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,351.289495970058,368.5022941717438,arm_j2,OPTIMAL,101.81751989861519,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,10.098389831012142,0.07889367055478236,89.90161016898786,0.0
mid105,roll-8,-8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,250.89123177896113,249.34014136262343,arm_j1,OPTIMAL,90.0872734331452,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,7.399093255839411,0.11561083212249079,92.6009067441606,0.0
mid105,pitch+8,0.0,8.0,press_down,0.0,0.0,-1.0,OPTIMAL,270.0231332325025,257.36811345202926,arm_j3,OPTIMAL,157.16079622792753,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.1554767740871643,0.044591893840608215,96.84452322591284,0.0
mid105,pitch+8,0.0,8.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,484.54538244477123,465.47452167444317,arm_j2,OPTIMAL,121.15450942736759,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,5.108957614772042,0.07982746273081316,94.89104238522796,0.0
mid105,pitch+8,0.0,8.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,446.40366090411516,465.47452167444317,arm_j2,OPTIMAL,100.12338322315539,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,8.39377000265861,0.07383157561524885,91.60622999734139,0.0
mid105,pitch+8,0.0,8.0,handle_axis,0.0,1.0,0.0,OPTIMAL,306.8969186034522,307.5560758721182,arm_j1,OPTIMAL,87.87183920086557,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,6.717200175637594,0.10495625274433741,93.2827998243624,0.0
mid105,pitch-8,0.0,-8.0,press_down,0.0,0.0,-1.0,OPTIMAL,232.45066315061996,219.09406224169877,arm_j2,OPTIMAL,153.89649837582166,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.2084917355803624,0.05013268336844316,96.79150826441963,0.0
mid105,pitch-8,0.0,-8.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,449.8147389520446,423.96841152195225,arm_j2,OPTIMAL,118.63807775745254,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,5.5782109890948135,0.08715954670460646,94.42178901090519,0.0
mid105,pitch-8,0.0,-8.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,398.1220840918599,423.96841152195225,arm_j2,OPTIMAL,102.63981489312421,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,10.813618699920173,0.08448139609312635,89.18638130007983,0.0
mid105,pitch-8,0.0,-8.0,handle_axis,0.0,1.0,0.0,OPTIMAL,211.5639084479435,210.9033145586238,arm_j1,OPTIMAL,88.5486270350358,"FL_foot:friction(1,1);FL_foot:friction(-1,-1);RL_foot:normal_lower",FL_foot;RL_foot,9.169797141952756,0.14327808034301182,90.83020285804724,0.0
far90,neutral,0.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,193.1746845837273,176.8849797190852,arm_j2,OPTIMAL,135.3024889928111,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.1745861865830243,0.049602909165359754,96.82541381341697,0.0
far90,neutral,0.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,833.3333333333336,833.3333333333336,arm_j1,OPTIMAL,144.2384667102919,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,7.018361940086018,0.10669610862457296,92.98163805991398,0.0
far90,neutral,0.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,828.8196398506025,833.3333333333336,arm_j2,OPTIMAL,113.91907471533837,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,11.400053111901004,0.08906291493672659,88.599946888099,0.0
far90,neutral,0.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,180.18018018018023,180.18018018018023,arm_j1,OPTIMAL,89.24689251743655,"FL_foot:friction(1,1);FL_foot:friction(1,-1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1)",FL_foot,11.099999999999996,0.17343749999999994,88.9,0.0
far90,roll+8,8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,193.4072273659162,176.82158435628548,arm_j2,OPTIMAL,135.45426189701743,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.0562809756296456,0.04775439024421321,96.94371902437035,0.0
far90,roll+8,8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,587.1058702196112,579.845669769801,arm_j1,OPTIMAL,144.40026337163832,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,7.660465540801304,0.10599198074969562,92.3395344591987,0.0
far90,roll+8,8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,572.5854693199909,579.845669769801,arm_j1,OPTIMAL,113.75727805399215,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,11.099283807685042,0.08671315474753939,88.90071619231496,0.0
far90,roll+8,8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,179.67272137867107,181.95091396731854,arm_j1,OPTIMAL,88.67718350989917,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",FL_foot,12.244067426146042,0.1913135535335319,87.75593257385395,0.0
far90,roll-8,-8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,196.00137721046568,179.983465970497,arm_j2,OPTIMAL,135.22503439870562,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.2174893264982174,0.05027327072653465,96.78251067350178,0.0
far90,roll-8,-8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,864.2876681852055,793.6550871706119,arm_j2,OPTIMAL,144.15589667017335,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,6.813911266269574,0.1064673635354621,93.18608873373043,0.0
far90,roll-8,-8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,723.0225061560183,793.6550871706119,arm_j2,OPTIMAL,114.00164475457629,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,11.419643429452409,0.08921596429259694,88.5803565705476,0.0
far90,roll-8,-8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,184.17341691122868,181.9509139670653,arm_j1,OPTIMAL,89.86961506621712,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",FL_foot,10.023765423462374,0.1526639165702275,89.97623457653762,0.0
far90,pitch+8,0.0,8.0,press_down,0.0,0.0,-1.0,OPTIMAL,205.20832772581076,189.57467451047108,arm_j2,OPTIMAL,136.67939575927736,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.13241736014501,0.04894402125226578,96.86758263985499,0.0
far90,pitch+8,0.0,8.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,844.2416453218608,812.3227061944109,arm_j1,OPTIMAL,145.70631051920424,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,6.842962661613635,0.10692129158771305,93.15703733838636,0.0
far90,pitch+8,0.0,8.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,745.3328958709428,812.3227061944109,arm_j2,OPTIMAL,112.45123090640402,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,10.708774931455524,0.08366230415199628,89.29122506854448,0.0
far90,pitch+8,0.0,8.0,handle_axis,0.0,1.0,0.0,OPTIMAL,201.54664295996582,202.19988048851928,arm_j1,OPTIMAL,89.70647850279629,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",FL_foot,10.21426792075979,0.15959793626187171,89.7857320792402,0.0
far90,pitch-8,0.0,-8.0,press_down,0.0,0.0,-1.0,OPTIMAL,182.38633430404556,165.54583190505176,arm_j2,OPTIMAL,134.178985394013,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.217365159818357,0.050271330622161825,96.78263484018164,0.0
far90,pitch-8,0.0,-8.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,838.4695603856521,841.522977098848,arm_j1,OPTIMAL,143.04076194047985,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,8.207869011489523,0.10441847320511817,91.79213098851048,0.0
far90,pitch-8,0.0,-8.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,844.5763938120439,841.522977098848,arm_j1,OPTIMAL,115.11677948519835,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,12.137557031798147,0.09482466431092303,87.86244296820185,0.0
far90,pitch-8,0.0,-8.0,handle_axis,0.0,1.0,0.0,OPTIMAL,166.76689195443043,166.1639757246705,arm_j1,OPTIMAL,88.8608945746185,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",FL_foot,11.673459115097577,0.18239779867339964,88.32654088490243,0.0
high120,neutral,0.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,233.33933938286503,219.78021978648547,arm_j2,OPTIMAL,147.90307615996826,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.2786666375854425,0.05122916621227254,96.72133336241455,0.0
high120,neutral,0.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,255.892749915717,241.0230738073923,arm_j2,OPTIMAL,105.92818314576928,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,2.1285613076925163,0.026268116860647506,97.87143869230748,0.0
high120,neutral,0.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,226.15339769906763,241.0230738073923,arm_j2,OPTIMAL,87.68997292345344,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,14.467360140046145,0.1130262510941105,85.53263985995386,0.0
high120,neutral,0.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,219.78021978021974,219.78021978021974,arm_j1,OPTIMAL,75.60596471919669,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,9.100000000000001,0.14218750000000002,90.9,0.0
high120,roll+8,8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,241.7834466349509,228.04704747902431,arm_j2,OPTIMAL,148.04767122232235,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.102461970815998,0.04847596829399997,96.897538029184,0.0
high120,roll+8,8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,274.48646376454576,258.8921140204076,arm_j2,OPTIMAL,106.0317421294274,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,1.7100798275627822,0.026719997305668472,98.28992017243722,0.0
high120,roll+8,8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,243.29776427626945,258.8921140204076,arm_j2,OPTIMAL,87.58641393982333,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,13.748719183208626,0.1074118686188174,86.25128081679138,0.0
high120,roll+8,8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,220.00205077704564,221.94012582832795,arm_j1,OPTIMAL,74.19052035582138,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,9.88468172188546,0.15444815190446032,90.11531827811454,0.0
high120,roll-8,-8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,241.8023752425301,228.04796961460482,arm_j2,OPTIMAL,148.05880321563507,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.0945511854955834,0.04835236227336849,96.90544881450441,0.0
high120,roll-8,-8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,274.5084539568387,258.8936337127036,arm_j2,OPTIMAL,106.03971486303794,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,1.7179870396408106,0.026843547494387665,98.2820129603592,0.0
high120,roll-8,-8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,243.2788134685685,258.8936337127036,arm_j2,OPTIMAL,87.57844120618482,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,13.756545394104647,0.10747301089144255,86.24345460589535,0.0
high120,roll-8,-8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,223.88115910151615,221.94012582826772,arm_j1,OPTIMAL,77.02355367708422,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,9.932205955207898,0.12713850370790125,90.0677940447921,0.0
high120,pitch+8,0.0,8.0,press_down,0.0,0.0,-1.0,OPTIMAL,251.51322346608967,238.792094871533,arm_j2,OPTIMAL,149.53658387742058,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.2359301374079674,0.05056140839699949,96.76406986259204,0.0
high120,pitch+8,0.0,8.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,240.63259337975256,228.46178930734476,arm_j2,OPTIMAL,107.09810137301037,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.426917013706718,0.026772789169583734,96.57308298629329,0.0
high120,pitch+8,0.0,8.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,216.29098523493695,228.46178930734476,arm_j2,OPTIMAL,86.5200546961994,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,14.081481270869816,0.1149212931783883,85.91851872913018,0.0
high120,pitch+8,0.0,8.0,handle_axis,0.0,1.0,0.0,OPTIMAL,282.65975958997007,282.66042499324533,arm_j1,OPTIMAL,75.60596888937604,FL_foot:normal_lower;RL_foot:normal_lower,FL_foot;RL_foot,7.075863345126318,0.11056036476759872,92.92413665487368,0.0
